time_of_day,subject_type,session_duration_inmin,breaks_taken_count,day_of_week,Normalized_focus_Score
Night,Aptitude,49.9,3,Saturday,50.02
Evening,Java,50.2,7,Sunday,57.71
Afternoon,DBMS,106.7,4,Friday,48.66
Morning,Operating Systems,14.3,1,Monday,59.2
Afternoon,Python,118.7,9,Monday,42.81
Morning,DSA,83.1,6,Saturday,56.07
Evening,Python,84.9,9,Wednesday,55.98
Night,Operating Systems,14.2,3,Thursday,38.72
Night,Machine Learning,76.6,5,Saturday,35.09
Evening,Machine Learning,63.3,9,Friday,47.01
Night,Aptitude,21.6,6,Tuesday,55.74
Night,DBMS,40.6,2,Thursday,45.6
Morning,Operating Systems,107.9,1,Monday,63.77
Evening,Aptitude,70.5,9,Saturday,56.58
Afternoon,Ai,55.5,1,Thursday,58.06
Morning,Python,18.0,5,Tuesday,69.9
Evening,Ai,88.6,1,Sunday,56.72
Morning,Python,87.3,5,Sunday,51.39
Afternoon,Machine Learning,77.5,5,Friday,52.76
Afternoon,Aptitude,66.1,7,Sunday,45.0
Evening,Machine Learning,57.7,7,Sunday,43.68
Afternoon,DSA,75.3,10,Saturday,44.14
Morning,Ai,35.7,1,Friday,60.77
Afternoon,Ai,113.5,9,Tuesday,37.17
Morning,Machine Learning,74.8,1,Tuesday,60.0
Morning,DSA,44.2,5,Sunday,61.68
Afternoon,Python,59.5,7,Wednesday,52.43
Evening,Aptitude,98.6,8,Monday,49.59
Night,DSA,27.8,2,Wednesday,47.05
Afternoon,Aptitude,42.2,1,Thursday,49.87
Morning,Ai,84.7,4,Tuesday,68.71
Morning,Aptitude,44.7,4,Wednesday,48.51
Afternoon,Ai,97.2,10,Monday,37.12
Evening,DSA,24.3,6,Monday,53.5
Evening,Ai,93.9,1,Tuesday,52.7
Morning,Java,17.5,1,Saturday,58.35
Morning,DBMS,11.4,3,Wednesday,62.08
Evening,Ai,108.8,5,Friday,62.6
Night,Machine Learning,73.9,6,Tuesday,41.79
Afternoon,DSA,48.7,5,Sunday,48.25
Morning,Java,35.6,5,Thursday,53.42
Morning,Python,77.9,9,Wednesday,74.33
Evening,Aptitude,66.0,2,Wednesday,60.53
Afternoon,Java,119.1,1,Tuesday,54.41
Evening,Operating Systems,118.2,6,Saturday,47.96
Afternoon,Java,79.9,9,Wednesday,56.81
Afternoon,DSA,58.7,7,Wednesday,54.07
Afternoon,Java,64.0,8,Thursday,53.2
Morning,Java,85.1,5,Saturday,56.49
Night,Machine Learning,21.2,10,Thursday,37.74
Evening,Ai,46.1,4,Friday,54.72
Night,Aptitude,18.3,6,Thursday,41.06
Evening,DBMS,18.1,3,Sunday,53.92
Afternoon,Python,31.5,1,Friday,46.5
Morning,DBMS,63.4,4,Thursday,56.41
Night,Java,96.3,9,Friday,34.58
Morning,Operating Systems,63.4,4,Saturday,59.66
Evening,DSA,46.9,1,Thursday,56.16
Morning,Aptitude,19.1,4,Thursday,57.47
Morning,DSA,70.5,7,Tuesday,46.8
Night,Machine Learning,39.8,3,Thursday,34.56
Afternoon,DSA,77.6,10,Friday,49.5
Morning,Python,117.5,6,Tuesday,67.0
Afternoon,Operating Systems,22.2,1,Friday,45.05
Evening,DBMS,33.3,4,Thursday,61.05
Morning,Java,62.0,3,Thursday,68.4
Night,Java,116.5,1,Friday,47.27
Evening,Operating Systems,94.9,3,Saturday,57.22
Evening,Aptitude,108.8,4,Saturday,46.37
Night,DSA,46.7,5,Sunday,32.09
Morning,Aptitude,119.1,6,Saturday,66.31
Morning,DBMS,21.3,2,Wednesday,55.05
Evening,Aptitude,15.8,2,Tuesday,60.76
Morning,Machine Learning,104.1,6,Tuesday,60.1
Afternoon,Operating Systems,112.0,5,Saturday,55.8
Night,DBMS,20.0,1,Thursday,48.88
Afternoon,DBMS,22.5,3,Tuesday,44.14
Morning,Ai,13.6,5,Friday,58.27
Evening,DBMS,21.5,2,Thursday,58.51
Night,Ai,33.0,1,Tuesday,42.26
Morning,Python,116.7,9,Monday,67.23
Morning,Java,83.5,5,Tuesday,60.48
Evening,Ai,95.6,2,Saturday,57.33
Evening,Operating Systems,95.4,10,Friday,60.64
Afternoon,Aptitude,68.9,4,Tuesday,51.55
Night,Ai,97.7,3,Sunday,41.33
Night,DBMS,75.5,7,Wednesday,42.32
Evening,Operating Systems,44.6,1,Saturday,46.27
Afternoon,Ai,71.7,10,Sunday,55.6
Night,Ai,68.7,4,Sunday,42.4
Evening,DBMS,100.6,7,Wednesday,53.76
Morning,Machine Learning,118.0,10,Thursday,56.83
Night,Machine Learning,55.2,5,Wednesday,42.74
Afternoon,Ai,94.0,4,Friday,47.55
Afternoon,Machine Learning,21.0,4,Monday,45.14
Afternoon,DSA,95.5,2,Monday,42.18
Morning,DBMS,50.9,8,Thursday,60.23
Night,DSA,14.3,4,Thursday,50.53
Night,Operating Systems,50.0,2,Wednesday,41.39
Morning,DSA,77.2,9,Sunday,58.76
Night,Operating Systems,23.1,10,Friday,47.88
Morning,Ai,111.6,7,Wednesday,62.01
Morning,Operating Systems,18.5,3,Friday,69.37
Morning,Operating Systems,112.3,7,Friday,63.01
Afternoon,Aptitude,87.8,1,Monday,50.34
Night,DSA,46.3,1,Sunday,42.68
Morning,Aptitude,53.0,4,Friday,64.23
Night,Ai,91.5,4,Tuesday,53.7
Afternoon,DBMS,76.2,4,Friday,48.8
Morning,DSA,83.9,9,Monday,59.9
Evening,DBMS,52.8,6,Saturday,67.31
Afternoon,DBMS,63.7,3,Wednesday,49.75
Evening,Operating Systems,118.9,6,Friday,54.55
Night,Java,33.5,2,Tuesday,40.8
Night,DSA,56.0,2,Thursday,44.42
Afternoon,DBMS,42.1,7,Wednesday,49.63
Night,Java,94.2,3,Thursday,46.97
Evening,Machine Learning,94.0,7,Tuesday,54.35
Morning,DBMS,42.2,3,Monday,50.13
Morning,Machine Learning,19.0,2,Saturday,48.47
Morning,DSA,11.3,4,Sunday,55.19
Afternoon,Ai,57.0,4,Monday,47.87
Night,Aptitude,55.1,3,Saturday,36.83
Evening,DSA,118.7,9,Sunday,41.8
Night,Aptitude,61.7,6,Wednesday,53.12
Night,Aptitude,38.2,5,Friday,53.04
Night,DSA,108.0,6,Friday,47.79
Morning,DBMS,64.0,8,Thursday,57.07
Evening,Python,75.9,5,Monday,64.35
Evening,DBMS,20.5,4,Friday,51.4
Night,DBMS,52.1,7,Saturday,44.18
Morning,Ai,113.9,5,Sunday,53.05
Morning,Operating Systems,74.8,4,Friday,60.12
Evening,Operating Systems,47.9,5,Monday,57.43
Morning,DBMS,78.8,4,Monday,52.51
Morning,Machine Learning,110.1,8,Tuesday,55.89
Morning,Ai,40.1,8,Sunday,58.25
Afternoon,Aptitude,65.6,1,Thursday,43.73
Night,Java,115.5,3,Sunday,37.29
Evening,Operating Systems,29.0,4,Monday,56.26
Evening,DBMS,89.2,2,Sunday,49.33
Afternoon,Ai,77.6,5,Tuesday,43.85
Night,Python,84.8,8,Sunday,44.15
Evening,Machine Learning,48.6,2,Monday,55.18
Morning,DSA,44.5,9,Wednesday,70.22
Evening,DBMS,85.3,7,Saturday,52.42
Morning,Ai,33.7,6,Saturday,57.06
Afternoon,DBMS,56.2,8,Wednesday,48.58
Morning,Java,30.7,2,Wednesday,65.75
Evening,Aptitude,10.9,5,Monday,56.63
Evening,Machine Learning,116.7,4,Friday,57.18
Evening,Operating Systems,57.5,8,Friday,56.11
Afternoon,Operating Systems,116.6,1,Wednesday,54.57
Afternoon,Operating Systems,25.4,3,Thursday,51.89
Night,Java,74.6,10,Saturday,34.96
Evening,DSA,32.1,8,Tuesday,52.56
Morning,Ai,96.9,5,Wednesday,58.71
Afternoon,Machine Learning,96.2,4,Saturday,47.22
Evening,Machine Learning,22.4,6,Tuesday,53.76
Evening,Operating Systems,110.3,5,Sunday,58.65
Afternoon,Operating Systems,31.4,3,Tuesday,51.99
Night,Aptitude,77.4,5,Wednesday,47.36
Afternoon,Java,118.4,4,Friday,44.93
Afternoon,Python,107.1,1,Thursday,52.75
Morning,Python,115.2,1,Saturday,57.93
Morning,DBMS,47.7,7,Wednesday,49.68
Night,DBMS,21.6,4,Tuesday,38.43
Evening,Machine Learning,30.7,1,Saturday,53.61
Afternoon,Machine Learning,65.1,6,Monday,51.27
Night,DSA,97.3,1,Sunday,38.05
Morning,DSA,26.5,8,Monday,56.21
Afternoon,Python,82.6,9,Saturday,43.33
Evening,Java,45.6,3,Saturday,56.95
Morning,DBMS,47.5,7,Tuesday,55.95
Morning,Python,82.8,5,Wednesday,59.15
Morning,Java,61.4,3,Friday,65.08
Night,Python,99.3,5,Wednesday,51.98
Evening,DBMS,27.2,10,Thursday,54.1
Afternoon,Ai,96.9,7,Saturday,47.06
Night,DSA,17.1,7,Monday,46.35
Night,Aptitude,31.3,9,Tuesday,42.95
Night,Aptitude,82.2,8,Friday,44.5
Morning,Aptitude,104.0,4,Sunday,56.02
Evening,DBMS,37.8,5,Wednesday,58.44
Night,Operating Systems,46.0,5,Thursday,52.08
Afternoon,Operating Systems,69.1,10,Wednesday,55.73
Evening,Operating Systems,33.3,2,Sunday,57.08
Afternoon,Machine Learning,99.2,7,Thursday,42.52
Evening,DSA,95.1,7,Wednesday,60.46
Afternoon,DSA,26.0,9,Friday,45.62
Morning,Ai,61.0,9,Friday,51.09
Night,Ai,95.2,4,Tuesday,40.75
Afternoon,Machine Learning,47.1,5,Friday,47.54
Evening,Python,79.6,7,Thursday,46.81
Night,Java,15.5,10,Tuesday,48.56
Night,Ai,77.0,7,Sunday,46.16
Evening,Aptitude,26.8,10,Friday,53.09
Afternoon,Operating Systems,101.4,8,Monday,44.17
Morning,Aptitude,49.1,8,Sunday,61.62
Morning,Operating Systems,41.0,2,Thursday,55.38
Afternoon,Aptitude,102.5,9,Sunday,38.9
Night,Python,15.5,4,Sunday,43.68
Night,Java,53.6,1,Tuesday,45.13
Night,Aptitude,50.7,1,Thursday,46.57
Night,Aptitude,41.3,5,Tuesday,48.84
Afternoon,DBMS,110.3,7,Thursday,54.45
Night,Java,92.6,5,Monday,38.68
Evening,Aptitude,17.0,3,Sunday,41.81
Night,DBMS,88.6,7,Friday,47.3
Morning,DSA,68.0,1,Wednesday,59.25
Night,Java,109.1,1,Sunday,39.71
Afternoon,Machine Learning,44.4,2,Wednesday,47.28
Morning,Java,73.2,1,Wednesday,55.82
Afternoon,Java,65.1,9,Sunday,55.64
Afternoon,Aptitude,63.9,4,Tuesday,39.94
Morning,DSA,60.2,7,Friday,61.12
Afternoon,Java,32.6,5,Sunday,40.57
Afternoon,Ai,93.1,7,Saturday,43.69
Night,Ai,59.6,7,Tuesday,42.8
Evening,DBMS,115.4,1,Sunday,47.09
Afternoon,Aptitude,38.7,1,Sunday,45.87
Afternoon,Aptitude,85.1,3,Tuesday,36.86
Afternoon,Java,113.5,10,Sunday,39.33
Night,Python,83.0,2,Tuesday,37.73
Evening,DSA,105.8,7,Sunday,44.89
Morning,Operating Systems,101.0,3,Saturday,53.02
Night,Operating Systems,49.6,7,Sunday,41.97
Night,Python,76.0,9,Tuesday,43.78
Evening,DBMS,27.2,1,Friday,50.65
Evening,Operating Systems,68.9,3,Sunday,49.38
Night,Java,35.3,6,Wednesday,41.51
Morning,Operating Systems,91.8,9,Thursday,58.14
Night,Ai,68.1,5,Tuesday,43.33
Evening,Ai,55.2,3,Sunday,48.1
Morning,Machine Learning,39.6,8,Friday,50.12
Evening,DSA,119.9,5,Monday,53.76
Morning,DBMS,17.9,6,Thursday,64.18
Afternoon,Aptitude,14.8,2,Tuesday,44.7
Evening,DSA,33.9,4,Tuesday,53.45
Evening,DBMS,116.8,1,Sunday,49.78
Night,Operating Systems,117.7,4,Thursday,47.9
Evening,Machine Learning,82.0,1,Thursday,48.66
Evening,DSA,106.8,4,Tuesday,52.92
Afternoon,Operating Systems,33.5,2,Friday,49.38
Evening,DBMS,116.9,6,Monday,56.27
Afternoon,DSA,25.7,6,Sunday,40.49
Afternoon,Aptitude,21.1,8,Friday,51.52
Afternoon,DSA,22.3,9,Saturday,43.34
Afternoon,Operating Systems,73.0,8,Wednesday,52.57
Morning,Java,95.9,1,Wednesday,58.01
Night,Java,50.3,3,Wednesday,51.26
Morning,DSA,117.6,6,Tuesday,50.95
Evening,Aptitude,57.8,1,Sunday,54.72
Morning,Machine Learning,26.5,8,Sunday,56.56
Morning,Machine Learning,61.3,6,Monday,60.31
Evening,Java,84.7,1,Monday,60.27
Evening,Operating Systems,101.5,10,Sunday,43.01
Evening,DBMS,60.5,2,Saturday,62.83
Morning,Operating Systems,75.3,6,Tuesday,62.59
Morning,Machine Learning,39.4,10,Tuesday,67.65
Evening,Python,81.1,8,Tuesday,66.33
Night,Python,118.5,5,Monday,49.14
Night,DSA,15.4,1,Tuesday,45.29
Afternoon,Aptitude,107.5,10,Thursday,53.75
Evening,Java,71.9,2,Thursday,43.59
Afternoon,Ai,37.7,4,Thursday,49.56
Night,Ai,115.0,4,Tuesday,49.84
Afternoon,Ai,63.2,7,Thursday,57.64
Evening,DSA,46.5,2,Sunday,49.43
Evening,Python,30.0,7,Saturday,55.8
Evening,Machine Learning,36.9,7,Tuesday,55.86
Morning,DSA,101.6,7,Saturday,55.59
Afternoon,Ai,77.6,3,Thursday,45.33
Night,Ai,110.5,6,Tuesday,41.69
Night,Java,35.5,6,Friday,39.78
Night,Operating Systems,23.3,4,Wednesday,37.44
Morning,Ai,10.7,1,Friday,59.15
Morning,Aptitude,65.9,9,Wednesday,71.08
Evening,Ai,119.8,2,Wednesday,56.23
Night,Operating Systems,86.4,9,Thursday,43.57
Morning,Ai,43.9,8,Wednesday,61.86
Evening,Aptitude,106.5,1,Wednesday,50.87
Night,Machine Learning,96.0,7,Friday,34.7
Afternoon,DSA,11.7,10,Wednesday,45.55
Evening,Aptitude,99.9,3,Tuesday,49.35
Morning,Operating Systems,43.1,10,Saturday,47.76
Morning,DSA,26.5,10,Sunday,53.25
Evening,DSA,34.9,9,Saturday,53.44
Evening,Operating Systems,61.5,5,Tuesday,56.97
Morning,Java,56.7,3,Sunday,58.36
Afternoon,Python,41.8,8,Thursday,60.35
Night,Ai,28.9,3,Sunday,39.24
Afternoon,Aptitude,93.8,7,Sunday,49.16
Evening,Operating Systems,118.9,7,Friday,53.06
Afternoon,Machine Learning,95.6,7,Sunday,52.11
Morning,DBMS,42.6,1,Sunday,52.96
Evening,Operating Systems,36.9,5,Monday,58.72
Night,Ai,33.9,1,Saturday,43.25
Morning,Ai,25.0,7,Friday,66.1
Morning,DSA,70.6,8,Saturday,56.05
Night,DSA,76.6,7,Monday,42.82
Night,Operating Systems,87.6,1,Wednesday,43.21
Afternoon,DBMS,84.8,3,Monday,49.23
Evening,Java,42.2,10,Wednesday,45.67
Night,Operating Systems,46.3,3,Saturday,39.39
Night,DBMS,85.0,7,Sunday,39.09
Evening,Java,48.4,4,Friday,49.3
Night,DBMS,33.4,3,Friday,42.19
Night,Ai,51.2,6,Thursday,40.51
Afternoon,Ai,39.9,10,Saturday,44.43
Morning,Ai,19.7,6,Thursday,63.12
Morning,Machine Learning,101.3,10,Sunday,58.13
Morning,Ai,103.8,5,Saturday,64.89
Morning,Aptitude,34.2,6,Sunday,58.54
Night,DSA,17.1,3,Wednesday,36.4
Evening,DSA,91.3,10,Saturday,49.35
Evening,DBMS,33.3,5,Saturday,48.8
Afternoon,DSA,53.3,9,Wednesday,44.09
Afternoon,Python,17.1,4,Tuesday,57.36
Night,Java,34.9,2,Sunday,44.27
Evening,DBMS,97.2,5,Tuesday,55.35
Evening,DSA,98.5,3,Saturday,43.58
Morning,Python,32.8,3,Tuesday,61.59
Night,Java,47.0,4,Friday,56.63
Night,Machine Learning,24.8,4,Saturday,35.82
Morning,DSA,18.2,5,Monday,57.91
Night,Python,119.1,7,Wednesday,53.94
Night,Operating Systems,82.1,4,Thursday,42.81
Afternoon,Aptitude,69.6,7,Wednesday,47.7
Evening,Operating Systems,94.2,9,Saturday,50.86
Night,Python,102.4,3,Monday,48.73
Afternoon,DBMS,98.7,5,Wednesday,45.32
Evening,Ai,11.8,4,Thursday,59.62
Morning,Ai,30.5,9,Thursday,58.03
Afternoon,Ai,82.0,5,Monday,51.03
Afternoon,Java,51.3,10,Thursday,47.92
Evening,DBMS,118.1,2,Friday,48.32
Morning,Java,83.2,10,Thursday,49.02
Afternoon,DSA,115.2,1,Sunday,47.14
Night,Ai,32.2,7,Monday,35.92
Night,Operating Systems,105.0,1,Monday,48.82
Night,DBMS,45.3,8,Wednesday,45.64
Morning,DBMS,118.9,9,Thursday,70.12
Afternoon,Ai,27.3,7,Thursday,47.08
Night,Operating Systems,66.8,9,Saturday,50.67
Morning,Machine Learning,97.2,10,Saturday,53.55
Night,DBMS,57.6,6,Monday,49.65
Evening,Ai,61.5,7,Saturday,54.73
Afternoon,Aptitude,118.5,3,Wednesday,40.83
Afternoon,Python,56.8,9,Sunday,64.97
Morning,Java,76.4,3,Wednesday,68.09
Morning,DSA,16.0,6,Friday,60.99
Afternoon,DBMS,102.6,4,Sunday,53.64
Night,Aptitude,81.3,9,Friday,46.37
Night,Aptitude,54.4,1,Monday,49.43
Evening,DBMS,11.8,9,Wednesday,55.78
Night,Machine Learning,75.1,4,Wednesday,37.79
Morning,Python,11.4,10,Friday,61.49
Morning,DSA,10.1,5,Sunday,53.38
Night,DBMS,77.8,1,Saturday,45.16
Morning,Java,30.8,1,Friday,54.73
Afternoon,DSA,31.1,6,Monday,49.74
Afternoon,Operating Systems,81.9,10,Sunday,39.95
Night,Aptitude,15.9,1,Wednesday,48.85
Afternoon,Aptitude,44.5,2,Monday,43.91
Afternoon,DBMS,26.4,3,Friday,53.02
Evening,DBMS,73.8,7,Thursday,55.59
Evening,Java,82.8,2,Friday,60.21
Afternoon,Operating Systems,89.3,5,Wednesday,49.24
Night,Machine Learning,38.1,9,Monday,47.07
Evening,DBMS,19.8,10,Saturday,52.74
Morning,Aptitude,18.7,8,Saturday,59.14
Morning,DSA,56.9,8,Wednesday,50.04
Morning,Python,114.0,2,Friday,58.78
Night,Ai,34.0,1,Friday,44.18
Afternoon,DSA,38.2,9,Tuesday,55.85
Morning,Machine Learning,21.1,10,Friday,59.73
Night,Python,76.6,4,Wednesday,38.41
Evening,DSA,84.8,9,Sunday,53.19
Afternoon,DSA,80.7,7,Sunday,41.61
Evening,Operating Systems,104.7,6,Monday,51.05
Night,Ai,63.5,10,Monday,44.71
Morning,Java,24.8,9,Tuesday,61.38
Morning,Machine Learning,41.8,10,Saturday,51.11
Night,Aptitude,82.9,4,Wednesday,36.27
Morning,Operating Systems,77.4,1,Friday,59.11
Afternoon,Python,68.4,5,Thursday,50.88
Night,Ai,85.1,6,Monday,52.17
Evening,Aptitude,80.1,6,Wednesday,55.21
Night,Operating Systems,106.9,1,Sunday,47.89
Afternoon,Ai,74.5,7,Tuesday,60.58
Afternoon,Java,95.6,8,Thursday,44.46
Night,Machine Learning,37.4,5,Saturday,47.35
Night,DBMS,84.6,2,Wednesday,49.66
Morning,Java,109.2,2,Friday,48.91
Afternoon,DBMS,52.4,5,Saturday,46.06
Night,Python,95.7,7,Sunday,47.53
Night,DBMS,89.7,7,Monday,46.69
Afternoon,Operating Systems,16.5,4,Sunday,55.29
Night,Python,74.0,3,Friday,49.95
Morning,Aptitude,24.3,9,Tuesday,52.85
Afternoon,Java,116.4,7,Monday,53.96
Morning,Java,99.3,2,Thursday,54.28
Morning,Machine Learning,22.1,1,Monday,55.24
Morning,Python,23.4,2,Sunday,64.49
Morning,Aptitude,75.4,3,Friday,64.93
Afternoon,Java,47.9,5,Saturday,47.19
Morning,Python,13.8,3,Wednesday,58.38
Morning,DSA,69.6,10,Sunday,55.0
Night,DSA,52.7,9,Wednesday,43.44
Afternoon,Python,21.1,10,Wednesday,49.17
Afternoon,Java,98.2,4,Sunday,52.68
Evening,Ai,110.7,7,Sunday,49.92
Afternoon,DBMS,93.2,4,Sunday,45.69
Afternoon,DSA,100.5,3,Tuesday,47.83
Evening,Ai,33.8,10,Tuesday,58.49
Afternoon,Ai,39.0,1,Wednesday,51.27
Afternoon,Machine Learning,32.9,9,Thursday,49.09
Afternoon,Aptitude,94.2,1,Friday,45.29
Afternoon,Operating Systems,114.3,1,Thursday,51.17
Evening,DSA,88.9,1,Sunday,54.73
Afternoon,Python,107.0,5,Sunday,47.28
Afternoon,DBMS,80.3,7,Wednesday,50.73
Evening,Operating Systems,52.6,7,Friday,59.6
Night,Aptitude,56.8,10,Tuesday,40.99
Morning,Ai,18.3,1,Monday,56.06
Night,Aptitude,13.5,6,Monday,44.4
Evening,Java,86.5,9,Friday,58.9
Morning,DSA,58.2,6,Thursday,44.09
Evening,Aptitude,70.7,4,Friday,54.02
Evening,Aptitude,71.3,10,Thursday,51.48
Afternoon,DBMS,40.5,9,Sunday,48.79
Morning,Java,62.3,3,Saturday,56.51
Afternoon,Java,61.8,10,Thursday,55.71
Morning,Ai,52.7,4,Monday,63.25
Evening,DBMS,100.3,4,Tuesday,53.86
Evening,DBMS,59.6,4,Wednesday,49.91
Night,Python,76.4,6,Sunday,45.75
Morning,Aptitude,108.5,7,Tuesday,58.5
Afternoon,Aptitude,105.3,9,Wednesday,48.98
Night,Java,107.9,3,Saturday,36.19
Night,Aptitude,39.7,8,Monday,45.76
Night,Machine Learning,13.8,8,Sunday,37.46
Afternoon,DBMS,38.7,1,Wednesday,47.97
Night,Operating Systems,40.7,5,Saturday,23.91
Afternoon,Java,110.0,10,Sunday,47.17
Night,DSA,81.4,5,Thursday,39.24
Afternoon,Java,19.0,8,Friday,52.58
Evening,Ai,24.9,8,Sunday,52.36
Evening,Operating Systems,27.1,2,Sunday,44.65
Evening,Ai,79.3,3,Wednesday,54.48
Evening,Python,90.9,2,Tuesday,58.07
Evening,Python,104.6,1,Monday,67.43
Night,Ai,113.5,2,Monday,48.0
Night,Aptitude,32.2,10,Sunday,35.54
Night,Operating Systems,44.1,6,Sunday,51.72
Afternoon,Aptitude,36.4,1,Saturday,45.63
Afternoon,Java,49.5,6,Friday,48.6
Afternoon,Machine Learning,110.6,1,Thursday,57.71
Afternoon,Python,73.3,2,Sunday,45.86
Evening,Python,91.2,8,Thursday,56.21
Evening,Operating Systems,63.9,6,Monday,46.84
Evening,Python,13.2,9,Thursday,56.8
Morning,Machine Learning,17.1,1,Sunday,54.24
Night,Machine Learning,69.2,5,Sunday,38.01
Afternoon,Machine Learning,89.1,7,Saturday,45.79
Afternoon,DSA,33.7,9,Friday,44.91
Evening,Machine Learning,89.4,9,Monday,60.32
Afternoon,Machine Learning,99.2,4,Thursday,48.09
Afternoon,DSA,55.3,4,Wednesday,45.15
Night,Aptitude,92.1,4,Wednesday,38.04
Evening,Java,54.4,3,Saturday,52.24
Night,DBMS,84.6,8,Thursday,49.59
Morning,Python,94.0,5,Wednesday,63.78
Morning,Machine Learning,119.1,7,Friday,67.93
Morning,Python,48.0,10,Tuesday,72.04
Evening,Operating Systems,55.2,6,Friday,48.6
Afternoon,Python,28.2,9,Saturday,41.55
Evening,Ai,32.4,3,Friday,51.15
Evening,Aptitude,86.3,6,Thursday,58.53
Afternoon,Java,110.9,3,Sunday,48.95
Night,DSA,53.4,2,Friday,49.05
Morning,Python,29.8,3,Thursday,56.82
Night,Python,41.4,2,Monday,38.13
Morning,Python,60.1,2,Thursday,59.04
Evening,DBMS,42.0,10,Saturday,54.93
Morning,DBMS,35.7,7,Thursday,60.81
Evening,Operating Systems,91.0,10,Monday,61.23
Night,DSA,10.9,3,Sunday,37.44
Evening,Python,69.3,8,Tuesday,61.98
Night,Python,97.3,2,Saturday,40.96
Afternoon,Python,39.3,7,Monday,55.89
Afternoon,Python,76.4,3,Thursday,55.81
Afternoon,DBMS,83.6,9,Saturday,54.88
Evening,Aptitude,82.1,7,Wednesday,48.3
Afternoon,Aptitude,59.0,9,Thursday,56.92
Morning,Operating Systems,48.1,2,Monday,62.23
Night,Ai,102.0,6,Thursday,45.3
Night,Machine Learning,93.4,5,Sunday,39.33
Morning,DSA,45.3,2,Monday,58.64
Evening,Aptitude,21.3,4,Friday,55.2
Evening,Ai,17.9,4,Tuesday,46.96
Night,Java,20.4,8,Tuesday,46.22
Afternoon,Java,74.1,7,Saturday,47.76
Evening,Python,15.7,5,Monday,53.71
Evening,Java,47.1,9,Tuesday,55.16
Morning,Aptitude,92.9,1,Wednesday,65.52
Morning,Operating Systems,42.4,4,Saturday,53.93
Afternoon,Machine Learning,94.0,5,Wednesday,42.3
Evening,Aptitude,92.0,8,Tuesday,51.39
Evening,Operating Systems,37.0,3,Monday,44.57
Morning,Java,90.2,5,Saturday,65.95
Evening,DBMS,92.3,3,Wednesday,50.84
Night,Machine Learning,53.7,7,Sunday,46.31
Morning,Operating Systems,33.1,10,Tuesday,53.8
Afternoon,Ai,67.3,3,Thursday,46.91
Morning,Aptitude,111.4,7,Wednesday,60.32
Evening,DBMS,80.4,2,Friday,58.22
Afternoon,Ai,29.0,7,Saturday,46.65
Morning,Operating Systems,85.1,9,Wednesday,52.3
Night,Operating Systems,57.0,5,Saturday,41.72
Night,Java,75.1,6,Tuesday,51.3
Morning,Ai,90.7,10,Tuesday,61.63
Night,Aptitude,66.6,3,Saturday,53.08
Night,Machine Learning,99.5,10,Tuesday,43.86
Night,DBMS,89.4,5,Monday,50.07
Afternoon,Java,77.7,5,Saturday,49.63
Night,Python,26.6,3,Monday,43.83
Night,DSA,102.0,8,Saturday,40.69
Night,Machine Learning,112.9,6,Thursday,48.56
Afternoon,Java,25.1,3,Thursday,48.27
Morning,DBMS,63.7,1,Wednesday,62.0
Evening,Ai,38.5,10,Tuesday,51.89
Night,Operating Systems,93.0,1,Thursday,49.65
Morning,Ai,89.4,10,Tuesday,60.41
Night,Java,25.5,2,Wednesday,49.32
Afternoon,DBMS,106.5,10,Monday,56.23
Morning,Ai,29.9,5,Thursday,63.36
Afternoon,Ai,97.7,7,Friday,49.1
Night,DSA,60.3,1,Friday,43.19
Night,Aptitude,46.1,1,Friday,34.47
Afternoon,Java,27.4,4,Sunday,49.14
Evening,DSA,28.4,10,Friday,59.25
Afternoon,Java,82.8,6,Friday,43.81
Night,Python,70.5,9,Friday,46.22
Afternoon,Python,23.4,1,Friday,51.12
Evening,DSA,22.4,10,Thursday,56.32
Afternoon,Machine Learning,18.0,5,Friday,48.73
Evening,Machine Learning,91.8,9,Saturday,45.44
Evening,Ai,88.3,8,Saturday,60.06
Afternoon,Ai,16.4,7,Friday,41.66
Afternoon,Operating Systems,71.6,10,Sunday,43.97
Morning,Python,19.3,2,Wednesday,55.34
Night,Java,109.4,9,Thursday,46.78
Evening,Operating Systems,109.8,8,Saturday,54.32
Morning,Python,86.8,10,Wednesday,61.42
Afternoon,DSA,111.9,10,Tuesday,42.94
Night,Machine Learning,99.3,9,Friday,38.34
Morning,Ai,101.1,9,Monday,64.46
Evening,Machine Learning,72.7,9,Sunday,49.6
Morning,DSA,43.7,3,Sunday,53.73
Evening,Operating Systems,34.0,7,Sunday,48.52
Afternoon,Operating Systems,46.0,1,Friday,49.4
Night,DBMS,79.1,9,Friday,47.85
Night,Ai,29.0,9,Wednesday,43.78
Night,Ai,38.5,3,Sunday,44.16
Afternoon,Java,61.5,5,Sunday,39.19
Evening,Ai,35.6,8,Sunday,57.67
Afternoon,Python,74.8,6,Tuesday,51.81
Night,Operating Systems,111.5,10,Wednesday,40.1
Afternoon,DSA,92.3,10,Thursday,51.2
Afternoon,Operating Systems,83.3,9,Sunday,47.9
Afternoon,Machine Learning,74.1,3,Tuesday,42.38
Evening,Python,63.7,7,Saturday,53.39
Morning,Ai,30.5,6,Tuesday,57.41
Morning,Java,108.4,5,Tuesday,53.66
Afternoon,Java,37.3,4,Wednesday,47.89
Morning,Java,20.0,5,Friday,54.77
